Episode, Score, Lines, Counts
959, 1161, 10, 61
960, 451, 4, 51
961, 653, 6, 53
962, 1465, 11, 65
963, 859, 8, 59
964, 1058, 9, 58
965, 857, 8, 57
966, 756, 7, 56
967, 450, 4, 50
968, 1162, 10, 62
969, 1355, 9, 55
970, 653, 6, 53
971, 1160, 10, 60
972, 1062, 10, 62
973, 856, 8, 56
974, 959, 9, 59
975, 1059, 9, 59
976, 1059, 9, 59
977, 1061, 10, 61
978, 757, 7, 57
979, 1463, 11, 63
980, 961, 9, 61
981, 1058, 9, 58
982, 1256, 8, 56
983, 1263, 11, 63
984, 1564, 12, 64
985, 1263, 11, 63
986, 1063, 10, 63
987, 1061, 9, 61
988, 1264, 11, 64
989, 1064, 10, 64
990, 1063, 10, 63
991, 1261, 11, 61
992, 1261, 11, 61
993, 1162, 10, 62
994, 757, 7, 57
995, 961, 9, 61
996, 1358, 9, 58
997, 1563, 11, 63
998, 1163, 11, 63
999, 1563, 12, 63
1000, 1264, 11, 64
1001, 855, 8, 55
1002, 1058, 8, 58
1003, 1060, 9, 60
1004, 1156, 8, 56
1005, 1056, 9, 56
1006, 1160, 10, 60
1007, 1263, 11, 63
1008, 1162, 10, 62
1009, 1159, 8, 59
1010, 1361, 10, 61
1011, 960, 9, 60
1012, 1161, 10, 61
1013, 1163, 10, 63
1014, 959, 9, 59
1015, 754, 7, 54
1016, 1062, 10, 62
1017, 858, 8, 58
1018, 1062, 10, 62
1019, 1751, 9, 51
1020, 550, 5, 50
1021, 951, 6, 51
1022, 1162, 10, 62
1023, 1060, 10, 60
1024, 962, 9, 62
1025, 1756, 8, 56
1026, 860, 8, 60
1027, 853, 6, 53
1028, 1162, 10, 62
1029, 857, 8, 57
1030, 755, 7, 55
1031, 1161, 10, 61
1032, 654, 6, 54
1033, 1465, 12, 65
1034, 1266, 12, 66
1035, 1664, 12, 64
1036, 652, 6, 52
1037, 754, 7, 54
1038, 958, 8, 58
1039, 1361, 10, 61
1040, 856, 7, 56
1041, 549, 5, 49
1042, 1567, 12, 67
1043, 756, 7, 56
1044, 1362, 11, 62
1045, 960, 9, 60
1046, 1162, 10, 62
1047, 961, 9, 61
1048, 1465, 12, 65
1049, 1261, 11, 61
1050, 757, 7, 57
1051, 1163, 10, 63
1052, 650, 5, 50
1053, 1059, 9, 59
